Date	Quantity
01-01-01	6919745217,00
01-02-01	6871872316,00
01-03-01	6938084853,00
01-04-01	684512263,00
01-05-01	6776075575,00
01-06-01	6620698416,00
01-07-01	6814613372,00
01-08-01	6831982976,00
01-09-01	6785278372,00
01-10-01	677500388,00
01-11-01	6810041317,00
01-12-01	6769271756,00
01-01-02	6695716047,00
01-02-02	6702849332,00
01-03-02	6682484506,00
01-04-02	66288446,00
01-05-02	6685948293,00
01-06-02	6670597192,00
01-07-02	6718674967,00
01-08-02	6691473151,00
01-09-02	6746525136,00
01-10-02	6887621022,00
01-11-02	6900641022,00
01-12-02	6735285167,00
01-01-03	6775016942,00
01-02-03	6936813162,00
01-03-03	6988365841,00
01-04-03	6880998629,00
01-05-03	6877277818,00
01-06-03	6797717469,00
01-07-03	6860379734,00
01-08-03	6905890352,00
01-09-03	6966074703,00
01-10-03	7062351456,00
01-11-03	70860664,00
01-12-03	7212732017,00
01-01-04	71910298,00
01-02-04	71885392,00
01-03-04	71821.19
01-04-04	71774387,00
01-05-04	71417886,00
01-06-04	72973607,00
01-07-04	73514989,00
01-08-04	72484561,00
01-09-04	73112447,00
01-10-04	73727115,00
01-11-04	73433577,00
01-12-04	73093329,00
01-01-05	73354581,00
01-02-05	73664995,00
01-03-05	73964638,00
01-04-05	74282019,00
01-05-05	74364868,00
01-06-05	73968482,00
01-07-05	73836461,00
01-08-05	73832036,00
01-09-05	73411557,00
01-10-05	73470403,00
01-11-05	74044705,00
01-12-05	74242989,00
01-01-06	73713309,00
01-02-06	73710713,00
01-03-06	73577051,00
01-04-06	73642262,00
01-05-06	73185435,00
01-06-06	73182563,00
01-07-06	74219832,00
01-08-06	73938321,00
01-09-06	73572.09
01-10-06	73907.32
01-11-06	73472423,00
01-12-06	73393865,00
01-01-07	73032233,00
01-02-07	73344329,00
01-03-07	73339229,00
01-04-07	73546258,00
01-05-07	73003677,00
01-06-07	72612428,00
01-07-07	73204537,00
01-08-07	72584078,00
01-09-07	73238717,00
01-10-07	73965493,00
01-11-07	73699292,00
01-12-07	74309542,00
01-01-08	74663653,00
01-02-08	74752704,00
01-03-08	74978738,00
01-04-08	74407701,00
01-05-08	74726227,00
01-06-08	74733633,00
01-07-08	75487395,00
01-08-08	74393744,00
01-09-08	73394476,00
01-10-08	74394145,00
01-11-08	74226965,00
01-12-08	73458713,00
01-01-09	72370775,00
01-02-09	72783553,00
01-03-09	72620321,00
01-04-09	72914734,00
01-05-09	72499654,00
01-06-09	72637555,00
01-07-09	73594812,00
01-08-09	73051849,00
01-09-09	73501319,00
01-10-09	73952272,00
01-11-09	74051666,00
01-12-09	73751962,00
01-01-10	7394784695,00
01-02-10	7427986295,00
01-03-10	7451976695,00
01-04-10	7426616995,00
01-05-10	7431499895,00
01-06-10	7394959495,00
01-07-10	7420181295,00
01-08-10	7407849195,00
01-09-10	7439256195,00
01-10-10	7472780595,00
01-11-10	7505720595,00
01-12-10	7514602995,00
01-01-11	7592498366,00
01-02-11	7548870266,00
01-03-11	7444512166,00
01-04-11	7429424266,00
01-05-11	7366543066,00
01-06-11	7446210366,00
01-07-11	7488440966,00
01-08-11	7531072266,00
01-09-11	7464710566,00
01-10-11	7517576566,00
01-11-11	7617343166,00
01-12-11	7655379766,00
01-01-12	7673148151,00
01-02-12	7697513151,00
01-03-12	7687795251,00
01-04-12	7721219551,00
01-05-12	7650427851,00
01-06-12	7631081551,00
01-07-12	7652111351,00
01-08-12	7650660651,00
01-09-12	7595506151,00
01-10-12	7655614651,00
01-11-12	7708947151,00
01-12-12	7697486351,00
01-01-13	7637700877,00
01-02-13	7616168277,00
01-03-13	7637808277,00
01-04-13	7674594477,00
01-05-13	7662092777,00
01-06-13	7671179677,00
01-07-13	7723163377,00
01-08-13	7699822677,00
01-09-13	7652641677,00
01-10-13	7679419677,00
01-11-13	7710252277,00
01-12-13	7750700977,00
01-01-14	7772405641,00
01-02-14	7824640741,00
01-03-14	7757933341,00
01-04-14	7738034441,00
01-05-14	7761254641,00
01-06-14	7788437841,00
01-07-14	7816623841,00
01-08-14	7845368441,00
01-09-14	7919494641,00
01-10-14	8019507941,00
01-11-14	8000289541,00
01-12-14	8086800741,00
01-01-15	8013192719,00
01-02-15	8003209019,00
01-03-15	8094832319,00
01-04-15	8057817719,00
01-05-15	8048814719,00
01-06-15	8094297719,00
01-07-15	8145773019,00
01-08-15	8119601119,00
01-09-15	8108848619,00
01-10-15	8103908019,00
01-11-15	8171278119,00
01-12-15	8189389919,00
01-01-16	81838853,00
01-02-16	81094286,00
01-03-16	80979948,00
01-04-16	80204962,00
01-05-16	79413009,00
01-06-16	80126071,00
01-07-16	80884465,00
01-08-16	80314991,00
01-09-16	80674691,00
01-10-16	81832065,00
01-11-16	82831178,00
01-12-16	82279631,00
01-01-17	81326842,00
01-02-17	8112135227,00
01-03-17	8064633597,00
01-04-17	8020341372,00
01-05-17	808010265,00
01-06-17	8133345852,00
01-07-17	817260848,00
01-08-17	8121646901,00
01-09-17	8136564332,00
01-10-17	8154233544,00
01-11-17	8212040848,00
01-12-17	8163598314,00
01-01-18	8222889059,00
01-02-18	8235537293,00
01-03-18	8234720719,00
01-04-18	820871138,00
01-05-18	8189071951,00
01-06-18	8230342506,00
01-07-18	8284275642,00
01-08-18	8333781582,00
01-09-18	8330561947,00
01-10-18	8430240971,00
01-11-18	8458599658,00
01-12-18	84194832,00
01-01-19	8255128011,00
01-02-19	8235328402,00
01-03-19	8226676355,00
01-04-19	8210326804,00
01-05-19	8157800305,00
01-06-19	8171697261,00
01-07-19	8125383385,00
01-08-19	8231977019,00
01-09-19	8064807477,00
01-10-19	82480641,00
01-11-19	8341035949,00
01-12-19	8335056135,00
01-01-20	8303227198,00
01-02-20	8212332564,00
01-03-20	8232410126,00
01-04-20	8258694348,00
01-05-20	7138791427,00
01-06-20	7028672093,00
01-07-20	7162686109,00
01-08-20	727398443,00
01-09-20	7263571886,00
01-10-20	7315002157,00
01-11-20	7501423506,00
01-12-20	7552330249,00
01-01-21	7610964101,00
01-02-21	7405504018,00
01-03-21	7604334547,00
01-04-21	7548957005,00
01-05-21	7596372419,00
01-06-21	7661141697,00
01-07-21	7773898163,00
01-08-21	7738230881,00
01-09-21	7772586406,00
01-10-21	7904333668,00
01-11-21	7988877838,00
01-12-21	7956237153,00
01-01-22	7964647088,00
01-02-22	8064485535,00
01-03-22	8054728012,00
01-04-22	7956816764,00
01-05-22	790197179,00
01-06-22	7931463045,00
01-07-22	8030498818,00
01-08-22	8136371297,00
01-09-22	8172335439,00
01-10-22	8182861094,00
01-11-22	819266254,00
01-12-22	8178806763,00
01-01-23	82091213,00
